Controller,Noise_Type,Configuration,Frequency_Limit_Hz,MAE,RMSE
DeePC,pink,Sensor noise only,0.25,1.275,4.429
DeePC,pink,Sensor noise only,0.5,1.711,4.603
DeePC,pink,Sensor noise only,0.75,2.221,5.156
DeePC,pink,Sensor noise only,1.0,2.698,5.563
DeePC,pink,Sensor noise only,2.0,4.635,7.959
DeePC,pink,Sensor noise only,3.0,7.122,11.19
DeePC,pink,Sensor noise only,5.0,12.213,18.007
DeePC,pink,Sensor noise only,7.5,11.959,17.793
DeePC,pink,Sensor noise only,10.0,12.177,17.964
DeePC,pink,Delay + Sensor noise,0.25,3.525,8.742
DeePC,pink,Delay + Sensor noise,0.5,5.597,11.149
DeePC,pink,Delay + Sensor noise,0.75,7.795,13.939
DeePC,pink,Delay + Sensor noise,1.0,9.252,15.533
DeePC,pink,Delay + Sensor noise,2.0,12.992,20.193
DeePC,pink,Delay + Sensor noise,3.0,14.775,22.281
DeePC,pink,Delay + Sensor noise,5.0,16.556,24.486
DeePC,pink,Delay + Sensor noise,7.5,16.255,24.064
DeePC,pink,Delay + Sensor noise,10.0,15.567,23.519
