Controller,Noise_Type,Configuration,Frequency_Limit_Hz,MAE,RMSE,MAE_Std,RMSE_Std
DeePC,pink,Delay only,1.0,9.10372958211213,15.482638671118043,2.9657441524835306,4.778768280863162
DeePC,pink,Delay only,2.0,12.830073692918763,20.076211701330173,4.152511371103587,7.410893456236165
DeePC,pink,Delay only,3.0,15.553434958187136,23.38724446886092,5.679066090668201,8.646058291961424
DeePC,pink,Delay only,5.0,15.4011024871315,23.251255275119682,4.823730513361673,8.102498461986327
DeePC,pink,Delay only,7.5,15.710931306386627,23.86368474140644,4.845054724586764,8.435611504214263
DeePC,pink,Delay only,10.0,15.823574726185967,23.731264633825198,5.033613696764475,8.425485104648395
DeePC,pink,No noise,0.25,1.010184787066658,4.315498586062576,0.27046887052497887,0.4875088295371899
DeePC,pink,No noise,0.5,1.5189696478472292,4.568533888971441,0.44875944994507894,0.5207452877538065
DeePC,pink,No noise,0.75,2.0441573692237136,5.02670671653973,0.6372440530009547,0.7245841512587161
DeePC,pink,No noise,1.0,2.5500452532045466,5.496256342357716,0.8226363714534489,0.9945220435121881
DeePC,pink,No noise,2.0,4.573744764274069,7.915204687038677,1.5093507863927509,2.410792636398909
DeePC,pink,No noise,3.0,7.190030345941345,11.261441961892938,2.3750630853590473,3.895798695233112
DeePC,pink,No noise,5.0,12.693520195843714,18.75961290965924,4.663980621542195,7.166579568546834
DeePC,pink,No noise,7.5,11.99262144813374,17.809197083470927,3.9251304187264036,6.5901774411492084
DeePC,pink,No noise,10.0,12.569121654749216,18.50018553455481,4.470005129660651,6.897976489025314
DeePC,pink,Sensor noise only,0.25,1.278674077161006,4.431582583363252,0.22915096069982405,0.5538013372644871
DeePC,pink,Sensor noise only,0.5,1.7036354877995294,4.5995181088857136,0.4111261546335111,0.47964635525582794
DeePC,pink,Sensor noise only,0.75,2.2591259943458195,5.074496439087378,0.6518742934959831,0.7223006548393706
DeePC,pink,Sensor noise only,1.0,2.8410414543893014,5.660655448156292,0.930944155549001,0.9805440020607479
DeePC,pink,Sensor noise only,2.0,4.747712755576442,8.041824803294297,1.5451120463600343,2.402215586152618
DeePC,pink,Sensor noise only,3.0,7.635573902045968,11.908614075697434,2.9474773632320526,4.421984584622998
DeePC,pink,Sensor noise only,5.0,12.041590180808914,17.836514940450865,3.947633842395404,6.577000227056028
DeePC,pink,Sensor noise only,7.5,11.87918664328907,17.75864010813025,3.8774902087342595,6.56619744422994
DeePC,pink,Sensor noise only,10.0,11.880985715620763,17.772417245684824,3.8970379297774778,6.592462172881795
DeePC,white,Delay + Sensor noise,0.25,12.101708969566541,16.973282655661983,0.6982869536433006,0.9695037036593119
DeePC,white,Delay + Sensor noise,0.5,22.11248373619153,30.286927343781002,1.3261354097005242,1.801603777830566
DeePC,white,Delay + Sensor noise,0.75,33.39633028781718,44.977252182259434,2.0648033071301417,2.6336581970992436
DeePC,white,Delay + Sensor noise,1.0,42.53768751405797,56.35724686248703,2.7488613625946354,3.186036715004866
DeePC,white,Delay + Sensor noise,2.0,60.582600370050145,76.81700048805425,2.791582237950115,3.47780739202646
DeePC,white,Delay + Sensor noise,3.0,63.06969098624186,79.53365605030065,2.5333925982514325,3.376995871658533
DeePC,white,Delay + Sensor noise,5.0,65.32546301878655,82.24123284815948,2.1057723825714434,3.4120723669001594
DeePC,white,Delay + Sensor noise,7.5,65.32546301878655,82.24123284815948,2.1057723825714434,3.4120723669001594
DeePC,white,Delay + Sensor noise,10.0,65.32546301878655,82.24123284815948,2.1057723825714434,3.4120723669001594
DeePC,white,Delay only,0.25,12.095416544968128,16.96403571787836,0.7059812768404085,0.986407266822924
DeePC,white,Delay only,0.5,22.115495175364906,30.289459154805467,1.338988270542076,1.81790338449869
DeePC,white,Delay only,0.75,33.39779342322237,44.966894116530106,2.05801905815162,2.632721577216545
